_id,large_category,middle_category,small_category,image_url,title,old_price,new_price,discount_rate,review_count,isSoldout
6631fec1d3631010d2c4d961,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202403/e32e3eb0fb25c679ca99717c63b1a652.jpg,하드 커버 스프링 노트 - Spring Garden,16500,14800,10%,11,true
6631fec1d3631010d2c4d962,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202403/99725e12df2b885731286e78197b7881.jpg,PVC 펜,4500,4500,,84,true
6631fec1d3631010d2c4d963,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/d02e3ab53a0591b9c870f78f5c22e899.jpg,[벨리곰X위글위글] PVC 펜 - Twin Bears,4500,4500,,84,true
6631fec1d3631010d2c4d964,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/15b85bfbb0f4fd442163ca647eaf2e44.jpg,[벨리곰X위글위글] 스프링 노트 - Twin Bears,14500,13200,9%,31,true
6631fec1d3631010d2c4d965,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/16f0e650ab9373de143bac6523f4ef41.jpg,PVC 펜,4500,4500,,192,true
6631fec1d3631010d2c4d966,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202303/a2b73d5b39e04edf3ce9f44855bafcb5.jpg,스탬프 볼펜 - Rainbow Crush,7000,6300,10%,101,true
6631fec1d3631010d2c4d967,living,문구,펜/노트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/0d6b8867205772a35f1deb375700e286.jpg,트윙클 스프링 노트,14500,13200,9%,100,true
6631fed1d3631010d2c4d969,living,문구,자/마그넷/스테이플러,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/0486a9df382da0170b9d41b5b42906e4.jpg,아크릴 자,7100,6300,,81,false
6631fed1d3631010d2c4d96a,living,문구,자/마그넷/스테이플러,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/0b6d8e07fe02dfdd35bab21b61fbfedc.jpg,줄자,8800,7900,10%,"1,846",false
6631fed1d3631010d2c4d96b,living,문구,자/마그넷/스테이플러,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/2e6bf967e0e4c707c8846c595a9d1882.jpg,빅마그넷 클립 세트,14800,11600,,287,false
6631fed1d3631010d2c4d96c,living,문구,자/마그넷/스테이플러,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/62f282dd712c1c6bc49d222fec86b3a6.jpg,스테이플러,14400,12900,10%,12,false
6631fedbd3631010d2c4d96e,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/4dc8dafe5de429001686614cf33b915d.jpg,스티키 메모 세트 - Little Buddy Nametag,12600,11900,6%,49,false
6631fedbd3631010d2c4d96f,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202403/497e6ddaaae2aa3c2c19886883f295aa.jpg,마스킹 테이프 3종 SET - Spring Garden,8700,7800,10%,33,false
6631fedbd3631010d2c4d970,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202403/e7394d080a041fbd2d8b305bebffb0df.jpg,포인트 스티커,1500,1500,,15,false
6631fedbd3631010d2c4d971,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/f6c96bd9df450bc2610224714ca29103.jpg,마스킹 테이프,4400,4000,9%,127,false
6631fedbd3631010d2c4d972,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/d59d5de45edf934a5b0b86f7fa6f143f.jpg,테이프 커터기,15800,14300,9%,46,false
6631fedbd3631010d2c4d973,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/af49daf4e42a578bb7040752c68ed3fb.jpg,스티키 메모 세트 - Daily Record,12600,11900,6%,39,false
6631fedbd3631010d2c4d974,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/11b9e92e54684b09a839a5ed0666fc27.jpg,팝업 카드 - Blooming,6500,6500,,24,false
6631fedbd3631010d2c4d975,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202307/6fe4aad748df63c3bf4c2f5ebb5460a3.jpg,스티키 메모 세트 - Triple Wiggles,12600,11900,6%,57,false
6631fedbd3631010d2c4d976,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/6fdea2e5939c3a9d819988385f1acc9b.png,엽서,1500,1500,,1,false
6631fedbd3631010d2c4d977,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/27983f95cd91c12ed6d3445b9eb3b4fb.jpg,팝업 카드 - Party Time,6500,6500,,10,false
6631fedbd3631010d2c4d978,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/21d359b0bad6551c9f281997f5e463db.webp,인테리어 포스터,8800,7900,10%,3,false
6631fedbd3631010d2c4d979,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/2c0d76f40205130b8e2ebc0eb97a32fc.jpg,리무버블 스티커,10900,8700,,27,false
6631fedbd3631010d2c4d97a,living,문구,카드/데코용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202404/35168cc6cef2dd3442c39c4b61543415.jpg,모니터 메모보드,8800,7900,10%,,false
6631fee4d3631010d2c4d97c,living,미용/욕실용품,칫솔/살균기/홀더,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/90572a14f9ee4c94e3c1d70799ab6f40.webp,칫솔 홀더 - Wiggle Bear,20800,16300,,181,false
6631fee4d3631010d2c4d97d,living,미용/욕실용품,칫솔/살균기/홀더,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/104b0d82d16fad2bfee3eadbe2b414c5.jpg,칫솔 살균기,39800,31800,,411,false
6631fee4d3631010d2c4d97e,living,미용/욕실용품,칫솔/살균기/홀더,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/73c965ec2357072b6e12765207b17684.jpg,칫솔 홀더 - Rainbow Smile,28800,22800,,162,false
6631fee4d3631010d2c4d97f,living,미용/욕실용품,칫솔/살균기/홀더,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202309/497cf12317c04745461670370723e0e9.webp,칫솔 홀더 - Lobster,20800,16300,,126,false
6631feecd3631010d2c4d981,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202309/9750282c535aeec9b3268837b8142f81.jpg,욕실 슬리퍼 - Rainbow Smile,21800,18900,,410,false
6631feedd3631010d2c4d982,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/a47d7d3a37cee5216e3f62e54ea6db2d.jpg,[벨리곰X위글위글] 욕실 슬리퍼,21800,18900,,169,false
6631feedd3631010d2c4d983,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202304/891e866cff3c10b6ecb9469542ee3354.jpg,욕실 슬리퍼 - Forest,21800,18900,,531,false
6631feedd3631010d2c4d984,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202304/16d248dea67de535a57da971521d6778.jpg,욕실 슬리퍼 - Bubble Bear,21800,18900,,342,false
6631feedd3631010d2c4d985,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/21d68a383b151bfb6d929e2347c92c24.jpg,욕실 슬리퍼 - Cloud Bear,21800,18900,,37,false
6631feedd3631010d2c4d986,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/5c1cef7d40c367624c0c5dcb24a69937.jpg,키즈 욕실슬리퍼(210) - Rainbow Smile,18600,16700,10%,27,false
6631feedd3631010d2c4d987,living,미용/욕실용품,욕실슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/6c9a1c434d5f83cd9d6f19266b7d07e3.jpg,키즈 욕실슬리퍼(195) - Cloud Bear,18600,16700,10%,24,false
6631fef5d3631010d2c4d989,living,미용/욕실용품,타월/세안밴드,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202401/6729383f70631d8771edfc7a9e0b951d.png,세안밴드,15200,13800,9%,404,false
6631fef6d3631010d2c4d98a,living,미용/욕실용품,타월/세안밴드,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202309/f2a2a5232507309dd8ffa5e86f36bbc4.jpg,페이스타월 SET - Cherry,33800,23500,,45,false
6631fef6d3631010d2c4d98b,living,미용/욕실용품,타월/세안밴드,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202309/7e9a16abf48f571f76522c10bebdf306.jpg,페이스타월 SET - Don't Panic,33800,23500,,25,false
6631fefed3631010d2c4d98d,living,미용/욕실용품,네일용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202308/863288eef01cb7f3ec62aa5ecd546efb.jpg,UV 스탠드 램프 - Smile We Love,54800,29800,,7,false
6631fefed3631010d2c4d98e,living,미용/욕실용품,네일용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/211fd0cfd0f4ca2b8dcfb906a9912199.jpg,손톱깎이 세트 - Smile We Love,16900,16000,5%,981,false
6631fefed3631010d2c4d98f,living,미용/욕실용품,네일용품,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/a5ba0e7b525808244db4b8a9efc1928d.jpg,손톱깎이 세트 - Smile We Love Pink,16900,16000,5%,135,false
6631ff07d3631010d2c4d991,living,홈데코,홈슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/e9fe09c012a51624ab3b0ced1c47f2d7.jpg,뽀글이홈슬리퍼 - Smile We Love,17800,15700,,457,false
6631ff07d3631010d2c4d992,living,홈데코,홈슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/ee2041e008b0b5afa63e67ea31953e64.jpg,프린팅 홈슬리퍼 - Blooming,28900,25200,,67,false
6631ff07d3631010d2c4d993,living,홈데코,홈슬리퍼,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/0d8d5477c7af070e3cce0bd460dc9802.jpg,프린팅 홈슬리퍼 - Couch Potato,28900,25200,,60,false
6631ff0fd3631010d2c4d995,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202212/d3029e525b24780e575875fee898b997.jpg,발매트 - Smile Rainbow,23000,19200,,783,false
6631ff10d3631010d2c4d996,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/6bf41b2e0e1741dd7556cdf23496535f.jpg,발매트(L) - Smile We Love,39800,31400,,653,false
6631ff10d3631010d2c4d997,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202208/0e1159c49f54f36e07495aac36b877e3.jpg,발매트(S) - Smile We Love,23000,19200,,558,false
6631ff10d3631010d2c4d998,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/28fab1fdcc9a2f756ee3da3deacace3f.jpg,발매트(S) - Teddy Bear,23000,19200,,399,false
6631ff10d3631010d2c4d999,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/283e5fb95275093ae1313e155a966543.jpg,쿠션담요 - Smile We Love,42800,31800,,501,false
6631ff10d3631010d2c4d99a,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/a4054f09ea23d52b4043e547766f8202.jpg,쿠션담요 - Teddy Bear,42800,31800,,461,false
6631ff10d3631010d2c4d99b,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202311/d54146dab48215d1339309bf15ffa097.jpg,[벨리곰X위글위글] 발매트,29600,26900,9%,80,false
6631ff10d3631010d2c4d99c,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202402/b95babc7038001292e440ea6cf09f5a6.jpg,쿠션커버,27600,23000,,72,false
6631ff10d3631010d2c4d99d,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202302/fdfd246c2dd2505839d7f689846e9df0.jpg,사각 러그 - Checkerboard,49800,43800,,558,false
6631ff10d3631010d2c4d99e,living,홈데코,쿠션/담요/매트,https://cafe24img.poxo.com/wigglewiggle20/web/product/medium/202310/2570503f5678c820bbdd73b5b907616e.jpg,프린팅 발매트 - Pizza Time,32800,25800,,34,false
